situationKey,situationCateKey,headline1,headline2,mainKeyword
31,19300017,청결은 기본,쾌적한 사무실을 위한 완벽한 청소도구 모음,청소도구
32,19300018,위생 관리의 시작,필수 위생용품 모음,위생용품
33,19300019,업무 효율을 높이는,PC 액세서리 모음,PC 액세서리
34,19300020,소중한 데이터는 안전하게,최고의 저장소 상품 추천,저장소
35,19300017,손 닿는 곳마다 깨끗하게,사무실 청소용품 필수템,청소용품
36,19300018,손쉬운 위생 관리,사무실 필수 위생용품 모음,위생용품
37,19300014,계획의 시작,깔끔한 플래너와 클립으로 완벽한 준비! ,플래너
38,19300014,오늘의 목표 달성!,목표를 만들고 기록하세요!,목표
39,19300014,프로젝트 성공의 비결,완벽한 시간 관리를 위한 필수템!,시간 관리
40,19300017,깨끗한 환경이 성과를 높인다,완벽한 사무실 청소용품 모음,청소용품
41,19300021,일 잘하는 사람들의 선택,노트북 액세서리로 업무 능률 업!,노트북 액세서리
42,19300022, 더 스마트하게 일하는 방법,사무 전자제품 추천,전자제품
43,19300020,중요한 데이터를 안전하게,믿을 수 있는 데이터 저장 솔루션,데이터 저장
44,19300015,텐션 올려!,특별한 출근길을 만드세요!,출근시간
45,19300023,효율적인 업무의 시작,사무실 필수 필기구 모음,필기구
46,19300024,다용도 파일로,안전하고 효율적으로 문서 보관하세요!,문서 보관
47,19300023,부드럽고 선명한 기록으로,아이디어를 놓치지 마세요.,아이디어
48,19300024,서류 정리 마스터!,북엔드와 파일 포켓으로 간편하게! ,북엔드와 파일 포켓
49,19300024,빠르게 찾고 정리하는,완벽한 문서 관리,문서 관리
50,19300025,동료의 희소식!,직장 동료의 행복을 축하하는 섬세한 선물 추천,섬세한 선물
52,19300027,함께 축하해요,축복과 기쁨이 함께하는 임신 축하 선물,임신 축하 선물
53,19300028,따뜻한 사랑과 함께,가정의 달을 축하하며 행복을 더하는 선물 추천,가정의 달
54,19300029,워크숍 인기 상품!,워크숍 참여율을 높이는 상품 추천,워크숍
55,19300030,으쌰으쌰!,소속감을 높이는 신입사원 웰컴키트,신입사원 웰컴키트
56,19300031,비를 피하는 법,장마철 필수 상품들,장마철
60,19300035,갑작스러운 날씨변화에 필요한,가방 속 필수템,가방
61,19300036,장시간 야근을 위한 필수템!,피로를 덜어주는 상품 모음,피로를 덜어주는
62,19300037,어디서든 완벽하게!,원격 근무의 효율성을 높이는 사무용품,원격 근무
63,19300014,마감일을 앞둔 당신을 위한,효율적인 마감 업무를 위한 필수품,효율적인 마감
64,19300024,중요한 문서를 안전하게!,문서 정리 필수 아이템 모음,문서 정리
65,19300023,아이디어를 바로 기록하세요!,창의적인 발상을 위한 사무용품,창의적인 발상
66,19300024,대규모 프로젝트를 위한,완벽한 자료 관리의 시작,자료 관리
67,19300038,성공적인 프레젠테이션을 위한,직장인 필수 준비물,직장인 필수
68,19300013,효율적인 회의를 위한,직장인 사무용품 모음 ,사무용품
69,19300039,예상치 못한 상황에 대비하세요!,안전을 위한 필수 응급처치 키트,응급처치
70,19300040,출장 시 필요한 휴대용 사무용품,가볍고 효율적인 업무 도구 모음,효율적인 업무 도구
71,19300009,나만의 책상 공간을 정리하는 법,깔끔한 데스크 필수 아이템 모음,데스크 필수
72,19300009,업무 효율을 높이는 깔끔한 책상,사무실을 정리의 시작,정리
73,19300009,작업 효율을 높이는,데스크 정리 필수템,데스크 정리
74,19300009,깔끔한 책상이 효율을 높여요!,업무 환경을 최적화하는 정리 필수템,업무 환경 최적화
75,19300009,집에서도 완벽한 사무실 환경을!,집중력을 높여주는 필수 아이템 모음,집중력
76,19300030,새로운 시작을 함께하는 환영 선물 세트,신입사원에게 딱 맞는 환영 패키지,신입사원
